Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2014-02-24,4500.7,4500.7,4590.7,4410.7,237900.0,2.04,AGR,Agribank
2014-02-25,4500.7,4500.7,4590.7,4410.7,204350.0,0.0,AGR,Agribank
2014-02-26,4500.7,4500.7,4590.7,4410.7,441360.0,0.0,AGR,Agribank
2014-02-27,4500.7,4500.7,4590.7,4500.7,349710.0,0.0,AGR,Agribank
2014-02-28,4590.7,4500.7,4590.7,4500.7,201500.0,2.0,AGR,Agribank
2014-03-03,4500.7,4590.7,4590.7,4410.7,298450.0,-1.96,AGR,Agribank
2014-03-04,4500.7,4500.7,4500.7,4410.7,218220.0,0.0,AGR,Agribank
2014-03-05,4680.8,4500.7,4680.8,4410.7,804380.0,4.0,AGR,Agribank
2014-03-06,4590.7,4680.8,4680.8,4500.7,782990.0,-1.92,AGR,Agribank
2014-03-07,4860.8,4680.8,4860.8,4680.8,1280000.0,5.88,AGR,Agribank
2014-03-10,5130.8,5130.8,5130.8,5130.8,642540.0,5.55,AGR,Agribank
2014-03-11,5400.9,5400.9,5400.9,5400.9,860870.0,5.26,AGR,Agribank
2014-03-12,5760.9,5760.9,5760.9,5580.9,6750000.0,6.67,AGR,Agribank
2014-03-13,6121.0,5851.0,6121.0,5851.0,3180000.0,6.25,AGR,Agribank
2014-03-14,6481.1,6301.0,6481.1,6301.0,1180000.0,5.88,AGR,Agribank
2014-03-17,6931.1,6931.1,6931.1,6751.1,3190000.0,6.94,AGR,Agribank
2014-03-18,7201.2,7291.2,7381.2,6931.1,4360000.0,3.9,AGR,Agribank
2014-03-19,7111.2,7111.2,7291.2,6931.1,2820000.0,-1.25,AGR,Agribank
2014-03-20,7021.1,7201.2,7201.2,6841.1,1720000.0,-1.27,AGR,Agribank
2014-03-21,7471.2,7021.1,7471.2,7021.1,2029999.9999999998,6.41,AGR,Agribank
2014-03-24,7921.3,7921.3,7921.3,7831.3,1740000.0,6.02,AGR,Agribank
2014-03-25,8371.4,8461.4,8461.4,8191.3,5890000.0,5.68,AGR,Agribank
2014-03-26,7831.3,8281.4,8371.4,7831.3,3780000.0,-6.45,AGR,Agribank
2014-03-27,7831.3,7471.2,7831.3,7291.2,1770000.0,0.0,AGR,Agribank
2014-03-28,8011.3,8011.3,8281.4,7831.3,1550000.0,2.3,AGR,Agribank
2014-03-31,7921.3,8191.3,8191.3,7921.3,1710000.0,-1.12,AGR,Agribank
2014-04-01,7471.2,7831.3,7831.3,7381.2,1770000.0,-5.68,AGR,Agribank
2014-04-02,7111.2,7381.2,7471.2,7021.1,2029999.9999999998,-4.82,AGR,Agribank
2014-04-03,7561.2,7291.2,7561.2,7201.2,1300000.0,6.33,AGR,Agribank
2014-04-04,7471.2,7651.2,7741.3,7291.2,1070000.0,-1.19,AGR,Agribank
2014-04-07,7831.3,7381.2,7921.3,7291.2,1790000.0,4.82,AGR,Agribank
2014-04-08,7741.3,7921.3,8101.3,7741.3,1050000.0,-1.15,AGR,Agribank
2014-04-10,7741.3,7921.3,8011.3,7651.2,895510.0,0.0,AGR,Agribank
2014-04-11,7651.2,7741.3,7831.3,7471.2,1070000.0,-1.16,AGR,Agribank
2014-04-14,7921.3,7831.3,8101.3,7831.3,2670000.0,3.53,AGR,Agribank
2014-04-15,7741.3,8101.3,8191.3,7741.3,2120000.0,-2.27,AGR,Agribank
2014-04-16,7201.2,7651.2,7741.3,7201.2,1680000.0,-6.98,AGR,Agribank
2014-04-17,7651.2,7561.2,7651.2,7291.2,1740000.0,6.25,AGR,Agribank
2014-04-18,7471.2,7741.3,7741.3,7381.2,1840000.0,-2.35,AGR,Agribank
2014-04-21,7111.2,7471.2,7561.2,7111.2,883350.0,-4.82,AGR,Agribank
2014-04-22,7471.2,7201.2,7471.2,6751.1,1510000.0,5.06,AGR,Agribank
2014-04-23,7021.1,7471.2,7471.2,7021.1,1150000.0,-6.02,AGR,Agribank
2014-04-24,6931.1,7021.1,7201.2,6931.1,502140.0,-1.28,AGR,Agribank
2014-04-25,7021.1,7021.1,7201.2,6841.1,1260000.0,1.3,AGR,Agribank
2014-04-28,6571.1,7111.2,7111.2,6571.1,734040.0,-6.41,AGR,Agribank
2014-04-29,6391.0,6481.1,6661.1,6211.0,950340.0,-2.74,AGR,Agribank
2014-05-05,6031.0,6391.0,6481.1,6031.0,1260000.0,-5.63,AGR,Agribank
2014-05-06,5760.9,5851.0,5941.0,5670.9,1630000.0,-4.48,AGR,Agribank
2014-05-07,6121.0,5851.0,6121.0,5760.9,1150000.0,6.25,AGR,Agribank
2014-05-08,5760.9,5851.0,5941.0,5760.9,1400000.0,-5.88,AGR,Agribank
2014-05-09,5941.0,5670.9,6031.0,5580.9,825770.0,3.13,AGR,Agribank
2014-05-12,5580.9,5760.9,5760.9,5580.9,302480.0,-6.06,AGR,Agribank
2014-05-13,5220.9,5220.9,5400.9,5220.9,787170.0,-6.45,AGR,Agribank
2014-05-14,5490.9,4950.8,5580.9,4860.8,2310000.0,5.17,AGR,Agribank
2014-05-15,5130.8,5310.9,5760.9,5130.8,1710000.0,-6.56,AGR,Agribank
2014-05-16,5400.9,5130.8,5400.9,5040.8,1120000.0,5.26,AGR,Agribank
2014-05-19,5760.9,5400.9,5760.9,5220.9,1770000.0,6.67,AGR,Agribank
2014-05-20,6121.0,5670.9,6121.0,5580.9,1720000.0,6.25,AGR,Agribank
